procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 
r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 
1  0      0 626808  17848 293928    0    0    26     3   52  203  0  1 97  1  0
 
0  0      0 616516  17848 293920    0    0     0     0   87  214  0  0 100  0  0
 
0  0      0 606340  17848 293920    0    0     0     0   77  154  4  0 96  0  0
 
0  0      0 596040  17848 293920    0    0     0     0   60  140  1  1 98  0  0
 
0  0      0 585864  17848 293920    0    0     0     0   37   85  0  0 100  0  0
 
0  0      0 575440  17848 293920    0    0     0     0   36   96  1  1 98  0  0
 
0  0      0 565264  17848 293920    0    0     0    12   58  140  1  0 87 12  0
 
0  0      0 554964  17848 293916    0    0     0     0   50  126  0  1 99  0  0
 
0  0      0 544788  17848 293916    0    0     0     0   33  100  0  1 99  0  0
 
0  0      0 534488  17848 293916    0    0     0     0   33  114  0  1 99  0  0
 
0  0      0 524312  17848 293916    0    0     0     0   46  122  0  0 100  0  0
 
0  0      0 626576  17848 293916    0    0     0     0   47  113  0  1 99  0  0
